,3-19-35-40,17-15-8-35,17-28-12,28-17-29-35,17-28-1-29,28-29-7-40,40-35-2-4-7,3-35-14-17,31-28-26-7-2,2-5-7-4-34,10-5-34-16,10-5-28-35,15-2-25-19,10-30-35-28,35-10-19-3,35-15-1-28-7,19-30-36-31,10-40-30-36,28-31-40-35,35-1-30-39,2-40-6-31-36,1-35-32-38,1-2-28-3-35,5-35-31-24,10-19-28-20,19-6-3-10-2,10-24-11-35,35-2-25-13,2-30-39-25,2-35-10-39,29-28-15-2,10-15-13-5,2-15-3-11-25,3-17-1-35-27,2-28-17-27,2-5-6-23-24,26-10-17-13,3-1-31-14-40,5-24-27-21,1-5-36-25-16,28-5-26-35,35-26-2-10,35-24-10-28,26-35-40-30,10-12-2-19,26-28-32-5,28-26-35-10
35-3-40-2,,17-4-30-35,17-35-9-31,17-3-30-7,17-14-3-35,14-13-3-40,31-35-7-3-13,13-7-3-30-35,35-31-5-18,28-13-7-26-2,3-35-10-12,40-35-31-6,3-35-17-3,35-9-8-3-40,3-17-14-19,12-13-1-28,13-35-19-3,35-8-3-13-40,35-31-8-40,15-5-17-30,35-3-36-19,19-35-24-32,35-31-7-3-13,13-14-5-3-17,10-35-19-25,28-35-7-31,10-15-35-3,14-35-31-1-9,30-40-13-19,40-3-39-2,35-3-15-19,2-13-24-3,13-1-32-14,10-2-14-40,2-17-13-27,28-2-17-30,40-9-31-3-7,7-31-3-4-32-1,17-37-31-3,35-8-9-1-10,10-35-17-29,2-26-30-12,28-35-15-4,13-4-17-14,17-25-13-19,17-25-37-32,26-28-18-37
31-4-17-15,1-2-17-15-30,,1-17-15-24,15-17-4-14-1,17-3-7-15-3-1,17-14-7-4-3,17-31-3-19,1-35-29-3,35-3-4-1-40,28-1-10-32,19-17-10-1-2,10-35-1-3-19,14-1-13-4,17-4-14-10,1-35-17-14,35-17-14-3-1,1-35-14-3,1-35-3-14-12,35-29-40-8,1-15-3-14-17,10-15-35-19,19-1-32-5,17-35-19-3-4,1-4-35-29-28,15-19-2-10,2-35-14-1-7,1-24-25-2-3,17-3-13-1,10-35-38-7,3-17-15-2,15-1-14-17,23-28-17-3,15-29-35-10,35-10-14-17,1-28-10-17,1-28-35-19,3-14-35-17,17-14-3-32-4,1-17-15-25,1-24-4-10-29,10-28-1-25,17-3-24-26,17-4-14-28,1-19-24-26,35-1-3-28-25,26-35-1-24,10-32-1-37
35-30-31-8,35-31-40-2,3-1-4-19-17,,3-4-19-17-35,17-40-35-10,35-30-14-7,14-35-17-2-4,13-14-15-7,4-3-31-25-17,7-17-2-22-28,35-3-29-2,35-10-1-3-2,3-14-4-13-18,10-17-35-3,35-19-24-28,35-3-30-31,17-19-35-12,35-17-3-14-5,14-40-3-35,35-3-15-17,35-36-10-24,35-24-28-3,3-35-28-30,28-24-35-12,14-5-30-28,1-17-28-3-6,28-24-13-3,14-1-3-35-17,1-3-21-18-13,35-17-11-5,1-19-35-15,1-7-17-3-31,10-25-26-2,35-17-31-29,3-10-17-1,17-7-3-28-13,17-14-30-35,3-17-32-7,1-18-9-16-35,17-3-15-13,30-32-10-3-2,10-24-15-13,3-14-7-30-37,28-2-5-26-35,25-10-37-24,28-32-26-3,28-10-26-32
31-17-3-4-1,17-15-3-31-2,14-15-4-18-1,14-17-15-4,,17-1-4-3-24-5,14-17-7-4-13,14-17-7-13-4,35-4-14-17,31-30-3-13-6,17-15-14-32,3-19-18-1-6,1-3-19-2-6-5,14-3-34-29,3-2-35-19-30,19-3-17-1,3-17-19-36,19-40-18-1,15-30-10-40,3-15-40-14,2-11-13-35,3-15-19-36,19-13-15-32,3-17-1-15-19,2-17-35-3,2-26-35-39,17-15-30-2-1,3-2-17-24-26,3-35-1-14-25,2-19-31-25,17-2-18-15,15-3-35-1,28-3-17-10,15-17-25-13,17-3-28-35,35-15-10-25,1-28-10-35,3-35-14-29,17-3-14-15,28-1-3-2-33,3-1-13-24-26,35-2-13-25,14-28-1-5-30,10-2-26-17,14-17-5-7-35,35-3-5-25-1,2-26-19-3,3-32-26-25
14-31-17-19,35-14-31-30,17-19-3-13-1,17-14-3-4-7,4-31-7-19-15,,17-18-14-7,14-28-26-13,17-5-4-7-28,35-26-1-4-17,26-17-2-13,13-19-37-10,10-2-30-25,26-28-17-13,14-1-35-3,35-19-13-28,35-40-17-13,35-17-13-19,15-35-9-17,40-2-17-35,35-24-29-10,35-24-39-32,1-40-24-35,28-3-13-12,17-14-12-10,14-1-10-35,17-12-30-35,2-16-7-17-32,14-28-1-4-23,35-31-17-1-7,40-1-7-24-15,15-4-28-29,24-2-17-5,10-4-24-25,35-40-4-5-25,1-16-32-17,17-35-28-2,35-7-14-3,14-3-32-26,35-39-24-1-2,16-17-40-13,35-2-29-36,25-10-3-28,10-17-7-15,1-26-28-18,25-10-3-19,32-35-18-2,28-3-32-26
31-35-40-2,31-40-35-26,1-7-4-35-3,7-15-4-3-1-35,17-4-7-1-31-5,17-14-4-3-31,,35-14-28-2-3,15-1-14-19,30-31-7-4-29,10-2-28-7,4-36-35-31,30-31-1-35-4,29-4-28-1,15-1-35-3,35-13-19-38,35-38-33-19,35-19-6-10,35-9-3-40-1-3,14-15-7-4-9,28-10-1-3-39,10-39-18-31,35-2-28-25,28-10-13-25,35-10-34-2,10-19-2-6-34,28-15-4-38-7,28-3-2-10-22,31-1-3-23-13,35-30-24-1,2-30-40-36,15-29-30-35,13-15-6-10,15-3-26-25,1-28-3-14-40,10-3-30-25,28-10-15-1-3,1-35-31-39,3-32-15-4,35-9-21-22,1-10-3-24-40,25-28-3-16-2,24-3-35-34,2-10-35-34,1-2-35-26-15,28-1-25-10,26-24-5-4-29,26-28-24-13
31-30-40-35,35-40-31-9,14-30-15-3-4,35-2-30-4,15-14-4-30,14-3-7-4-30,14-35-3-13,,7-35-2-30-31,35-3-31-40,10-7-24-28,35-19-1-38,35-38-15-31,35-40-2-38,37-9-18-12,35-19-2-40,35-2-40-36,35-28-6-30-2,35-28-24-40,13-14-9-17,40-35-31-34,3-26-4-35-15,35-24-28-5-7,1-7-28-5-2-19,35-10-39-40,10-35-18-1,3-35-40-5,7-32-14-24,31-39-14-3,1-31-35-5,12-18-13-35,31-28-6-29-2,28-24-7-1-17,7-26-24-17,40-28-35-2-1,17-1-3-35-27,28-1-17-6,5-40-12-7,14-32-3-22-5,39-24-19-27,35-30-13-10,25-35-10-3,10-1-13-24,10-2-35-31,1-5-28-31-3,28-37-2-12,17-26-28-32,10-32-35-25
29-30-3-10,15-3-10-31,4-14-29-5,17-14-4-13-5,4-17-5-2-14,17-14-5-28-2,14-4-15-3-7,14-4-7-1-2-35,,3-31-30-36,17-7-3-32-24,14-28-25-30,3-30-28-35,15-35-10-3,14-17-35-9-2,3-14-28-2,35-14-15-31,4-6-2-30-1-3,3-14-9-15-2-4,35-7-40-14,35-40-24-31,31-19-2-32,35-15-28-32,2-29-28-5,29-35-30-3-5,10-28-5-34,4-14-15-3-5,17-2-7-15-28,9-4-31-35-14,35-1-17-7,1-35-30-31,35-1-28-29,28-3-31-10,32-26-25-37,40-3-35-10,17-13-1-2-35,28-5-9-26-17,40-17-13-31,32-3-35-22,35-24-2-33,17-32-1-28,30-32-40-22,1-29-32-2,13-17-10-26,29-2-5-22-28,28-37-24-7,28-37-13-31,28-1-37-32
35-40-6-18-9,35-40-18-5-2,29-3-17-35,35-31-3-17,15-14-17-31,17-31-4-18,2-15-28-18,35-2-38-25,35-7-14-3,,17-37-4-31,35-40-34-10,35-30-31-3,28-35-29-24,35-14-40-3,19-3-34-35,35-18-3-2-13,35-19-18-3,40-9-35-14,14-17-9-35,35-24-9-40,35-31-1-17-3,35-28-30-3,3-30-1-35-38,24-4-10-34,3-25-19-1,35-7-18-19,15-28-35-24,31-10-9-1-4,1-35-21-24,35-40-3-12,1-15-17-29,35-2-24-13,3-10-25-35,40-3-35-16,25-10-2-32,28-30-10-31,35-24-3-12,30-17-28-14,35-3-31-33,10-2-35-1,30-3-33-25,35-1-10-8-9,1-13-3-35-36,13-1-10-27,25-28-37-1-3,28-18-32-24,4-24-37-13
28-17-13-7-1,28-26-35-3-2,7-32-13-17,7-32-17-3-2,7-17-32-2,32-2-3-24-17,7-19-26-3,26-32-3-2-24,7-17-3-32-26,17-7-32-3,,7-3-2-10-13,7-3-10-12-2,10-7-13-37,26-17-12-1,7-10-3-12-2-6,10-6-3-2-24,7-10-3-2-6-24,2-17-7-24-12,2-17-7-12-1,24-37-3-10-2,2-13-10-19,15-19-4-32,2-7-19-28-3,2-13-7-28-13,2-7-3-19-13,2-10-3-6-28,15-19-7-32-4,3-4-2-9-37,28-2-10-5-3,2-10-13-17,3-24-4-1-29,6-25-10-24,25-10-17-6,10-24-13-25,25-1-24-13,7-10-17-24,2-37-10-13,7-3-32-19-25,1-11-28-15,25-13-10-1-7,13-3-10-37,25-1-6-13-26,2-25-19-3,10-25-5-13-3,25-40-10-3-7,3-4-37-25-40,37-3-17-28
